Blog	The Superficial - Because You're Ugly	Wonkette	Publishing 2.0	Eschaton	Blog Maverick	Mashable!	we make money not art	GigaOM	Joho the Blog	Neil Gaiman's Journal	Signal vs. Noise	lifehack.org	Hot Air	Online Marketing Report	Kotaku	Talking Points Memo: by Joshua Micah Marshall	John Battelle's Searchblog	43 Folders	Daily Kos	Deadspin	Go Fug Yourself	O'Reilly Radar	Andrew Sullivan | The Daily Dish	Lifehacker	Google Operating System	Valleywag	Gizmodo	ScienceBlogs : Combined Feed	Michelle Malkin	SimpleBits	Slashdot	Gothamist	BuzzMachine	Sifry's Alerts	Topix.net Weblog	The Viral Garden	Micro Persuasion	Cool Hunting	SpikedHumor	flagrantdisregard	Search Engine Watch Blog	Joystiq	Download Squad	Captain's Quarters	MAKE Magazine	Engadget	CoolerHeads Prevail	Power Line	Techdirt	Official Google Blog	The Blotter	Treehugger	Crooks and Liars	TMZ.com	Bloggers Blog: Blogging the Blogsphere	Schneier on Security	Search Engine Roundtable	Copyblogger	Think Progress	Scobleizer - Tech Geek Blogger	Shoemoney - Skills to pay the bills	Little Green Footballs	456 Berea Street	Signum sine tinnitu--by Guy Kawasaki	Pharyngula	TechEBlog	Creating Passionate Users	TechCrunch	Wired News: Top Stories	PaulStamatiou.com	Dave Shea's mezzoblue	Steve Pavlina's Personal Development Blog	NewsBusters.org - Exposing Liberal Media Bias	kottke.org	MetaFilter	ongoing	Oilman	Instapundit.com	Joi Ito's Web	A Consuming Experience (full feed)	Matt Cutts: Gadgets, Google, and SEO	The Unofficial Apple Weblog (TUAW)	Joel on Software	Boing Boing	Bloglines | News	Quick Online Tips	PerezHilton.com	Derek Powazek	Jeremy Zawodny's blog	"gapingvoid: ""cartoons drawn on the back of business cards"""	Autoblog	Google Blogoscoped	plasticbag.org	Gawker	Read/WriteWeb	WWdN: In Exile	ProBlogger Blog Tips	Seth's Blog	The Huffington Post | Raw Feed
guy	1	12	0	1	12	0	1	1	0	0	0	0	0	0	3	0	0	1	0	5	0	0	0	0	0	4	1	0	0	0	0	2	0	9	0	0	0	0	18	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	2	2	0	0	1	5
cost	0	0	0	0	5	0	2	0	0	2	2	0	0	1	2	0	0	0	0	3	0	1	0	2	1	0	2	0	0	0	0	1	0	0	0	5	0	0	0	0	0	2	1	0	3	8	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	2	0	0	0	0	1	2	0	1	2	0	1	0	0
product	0	2	0	0	9	0	1	0	0	0	9	0	0	0	3	0	0	0	0	0	0	9	0	1	3	5	8	0	0	0	1	1	0	2	0	2	1	0	0	0	1	0	2	0	0	2	0	0	1	4	0	8	0	0	1	0	3	1	0	2	0	0	0	2	0	0	2	2	0	2	0	0	0	0	1	1	0	0	1	0	0	1	2	1	5	0	0	0	0	0	1	0	2	0	10	0	1	0	0
still	0	10	5	3	11	1	6	0	1	5	2	0	0	0	12	0	1	0	1	14	0	0	1	5	4	8	11	4	0	0	2	7	4	6	1	7	0	0	0	1	0	5	6	1	0	15	2	0	4	6	0	0	1	0	3	0	1	2	0	6	0	3	7	0	1	0	1	0	0	0	2	1	0	4	1	0	0	1	0	2	1	1	5	2	1	2	1	0	2	1	4	1	5	9	7	0	0	0	2
non	0	2	1	0	2	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	4	0	0	0	2	0	3	0	1	0	0	0	0	2	2	3	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0
drop	0	2	0	0	2	0	2	0	0	0	0	0	0	0	3	0	0	0	1	1	0	1	0	1	1	2	0	0	0	0	0	4	0	8	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0
year	5	2	0	0	14	0	7	1	0	2	1	0	0	0	7	1	2	0	0	17	0	4	2	4	3	8	5	11	0	5	6	13	0	4	2	8	0	2	2	0	0	5	1	0	3	8	1	0	3	5	1	4	0	0	3	0	1	1	1	0	0	3	6	0	2	0	0	1	0	3	1	0	2	5	1	2	0	0	0	0	4	1	10	3	0	7	0	1	2	0	14	1	2	4	6	0	1	0	4
tried	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	2	0	0	0	2	0	0	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	1	2	0	1	0	0	0	1
america	0	1	0	5	3	0	0	0	0	0	2	0	1	0	1	0	0	0	2	2	0	0	2	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4	0	0	0	0	0	0	0	0	0	0	6	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5
amp	0	9	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	17	0	0	1	0	1	3	0	0	0	0	0	0	0
start	0	1	1	2	7	0	2	1	0	2	2	3	0	4	7	0	0	1	1	7	0	0	0	4	2	5	0	0	0	0	0	5	1	1	0	4	0	0	0	0	0	2	1	0	3	0	0	0	0	1	0	0	0	0	2	0	0	1	0	2	0	0	4	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	2	0	1	1	5	1	2	1	3
podcast	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	7	0	2	0	0	2	2	1	3	0	1	3	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	3	0	3	0	0	0	1	0	0	0	0	0	0	3	7	2	5	0	0	0	0	0	0	0	0	1	0	0	0	1
month	1	3	0	0	1	1	1	0	0	1	2	1	0	0	6	0	0	0	2	1	0	1	1	0	0	1	3	1	1	0	0	5	0	5	2	6	0	0	0	0	4	0	1	0	1	3	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	3	0	0	1	0	0	2	0	1	1	0	0	1	0	0	0	0	0	1	0	0	6	0	0	0	0	0	1	0	3	1	0	1	2	0	0	0	0
advertising	0	1	9	1	4	0	0	3	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	1	2	1	2	0	0	0	0	0	5	3	0	3	1	0	0	0	6	0	3	0	0	0	0	0	2	3	0	0	0	0	4	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	20	0	0	0	0	3	1	1	0	3	0	2	0	1
ask	0	3	0	0	7	0	3	0	1	2	1	0	0	0	1	0	0	2	0	4	0	0	0	2	0	4	2	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	1	0	2	0	5	1	0	0	1	0	0	0	0	4	1	0	0	0	3
almost	2	5	0	0	3	0	0	0	0	3	1	0	0	0	1	0	0	0	0	1	0	0	1	2	0	15	2	0	0	1	1	1	0	1	0	2	0	0	0	0	0	0	2	1	1	3	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	2	2	1	0	0	0	0	0	1	0	0	1	5	1	4	0	0	0	0	1	1	6	1	0	0	1	0	1	0	0	0	2	1	0	0	0	0	1
systems	0	0	0	0	4	0	12	3	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0	2	0	2	0	0	0	0
american	0	6	0	8	2	0	2	1	0	2	1	0	0	0	0	1	1	0	6	3	0	1	1	3	0	2	0	5	1	0	0	4	3	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	7	1	1	4	1	0	0	0	0	4	1	0	9	0	0	2	0	0	0	0	0	0	0	7	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	6
culture	0	2	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	2	0	5	0	0	0	0	4	0	0	3	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	3	0	0	1	4
close	0	2	0	0	2	0	1	0	0	0	0	0	0	2	4	0	1	0	1	2	0	0	0	1	0	1	1	0	1	0	0	3	0	0	0	3	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	2	0	0	1	0	2	0	0	0	0	0	0	3	0	2	0	0	1	0	0	2	0	0	0	2	0	0	0	0
pictures	1	2	0	0	4	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	1	2	0	0	0	2	0	7	0	1	0	0	3	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	2	0	0	3	3	0	0	0	1
smart	1	1	0	0	10	0	2	0	0	1	3	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	5	0	3	3	2	0	0	0	2
showing	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	2	0	0	0	0	3	0	5	0	2	0	0	0	1	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
popular	0	0	1	0	3	1	2	0	1	0	1	0	0	3	0	0	0	0	0	2	0	2	0	0	2	4	2	1	0	0	1	0	2	4	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	5	0	1	0	0	1	0	0	1	1	0	2	0	0
application	0	0	0	0	4	0	2	0	1	0	1	0	0	1	0	0	0	2	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	3	0	0	0	0
e	0	2	0	0	1	1	1	1	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	2	0	13	6	1	2	0	0	11	0	2	0	0	0	4	0	0	1	1	2	0	0	9	0	0	0	0	3	0	0	0	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	7	1	1	4	4	0	0	0	1
dvd	0	0	0	0	24	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	1	9	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	2	0	0	12	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
camera	0	0	0	1	0	0	8	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	10	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	7	4	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	1	7	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0
links	0	0	0	1	2	0	7	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	8	0	0	0	2	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	1	1	1	4	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	4	0	1	0	1	1	3	0	0	1	0	0	0	9	1	0	0	0	0	0
including	1	2	1	0	1	0	0	2	1	0	1	0	0	0	3	0	0	2	2	0	0	1	0	2	5	1	5	2	0	0	0	4	0	8	1	4	1	1	1	0	2	1	1	0	0	5	0	1	1	2	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	5	0	2	3	0	1	0	0	0	3	0	2	0	6	0	0	0	3
during	0	3	0	1	5	0	3	1	0	0	0	0	0	0	0	0	1	0	4	6	0	0	1	5	1	5	2	3	0	0	1	6	0	4	0	2	0	0	0	1	1	1	1	1	0	1	1	0	1	3	0	0	0	0	2	1	0	0	3	1	1	4	0	1	1	0	0	0	0	0	0	0	4	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	2	4	1	0	0	0
university	0	2	0	0	0	0	7	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	1	20	1	2	0	3	0	0	0	0	1	0	0	0	0	2	0	0	4	0	0	0	0	0	0	1	0	4	0	0	0	0	8	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
special	0	3	0	0	2	1	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	4	4	9	2	2	0	0	0	1	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	2	1	0	0	0	2	2	0	1	0	1	1	0	0	1	0	0	5	0	0	0	4	0	0	0	0	19	1	0	2	0	1	0	0	1
times	0	5	0	2	11	0	0	1	0	1	0	1	0	0	1	0	0	1	0	5	0	0	2	4	3	23	1	5	1	0	2	21	0	8	0	3	1	0	1	0	2	4	0	4	0	6	0	3	1	3	0	0	0	1	6	0	0	2	0	4	0	1	0	0	0	0	0	0	0	1	0	0	5	6	1	0	0	0	0	0	0	1	0	1	1	1	3	0	1	0	1	0	0	4	5	0	0	1	1
party	4	3	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	1	5	1	1	2	0	1	0	2	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	2	0	3	0	1	0	2	0	2	0	0	0	0	3	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	2	0	0	0	0	8	0	1	0	0	0
home	0	6	2	0	14	0	2	0	0	3	1	0	0	1	4	0	1	1	0	4	0	1	0	11	3	4	0	0	1	0	0	5	0	1	0	2	2	2	1	0	0	0	1	0	3	16	0	0	1	5	0	5	0	2	2	0	0	0	0	2	0	4	2	1	0	0	0	0	0	2	1	0	1	2	0	1	0	1	2	0	0	1	2	1	0	0	1	0	2	0	0	0	0	2	7	0	0	0	1
display	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	4	0	0	3	0	0	0	0	0	0	0	0	2	0	0	1	3	0	1	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	6	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	3	0	1	0	0	2	0	0	1	1	0	0	1	0	0	0	0
star	0	2	0	1	1	0	1	0	0	2	0	0	0	0	4	0	0	0	1	5	0	0	0	0	0	1	0	2	0	0	0	4	0	0	0	0	0	0	2	0	0	1	0	0	0	0	5	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	5	1	3	0	0	0
likely	2	1	0	0	3	0	0	1	0	1	3	0	0	0	5	0	0	0	4	2	0	0	0	0	0	3	0	1	0	0	1	2	0	1	0	2	0	1	0	0	0	1	0	0	0	5	0	0	7	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	2	0	3	2	2	0	0	0	3
room	0	4	0	0	5	0	3	0	1	1	4	0	0	0	0	0	0	0	0	1	0	1	1	2	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	3	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	4	1	0	0	0	1
before	2	11	0	0	16	2	3	0	0	4	1	0	0	0	3	1	0	1	3	6	0	0	1	5	2	7	4	0	0	0	1	7	0	5	0	4	0	3	0	0	0	4	2	0	2	5	0	1	4	0	0	4	0	2	2	0	0	1	1	1	0	8	6	0	0	0	0	0	1	2	0	1	1	4	0	3	0	1	2	1	0	2	2	4	0	0	0	2	3	0	5	0	3	11	4	0	2	2	3
personal	0	0	0	0	5	0	2	0	0	0	3	1	0	0	3	0	0	0	1	1	0	1	0	2	3	8	1	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	0	3	2	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	3	0	0	1	0	0	2	0	1	0	0	0	0	0	11	0	0	0	2	3	1	0	0	0	0	0	1	5	0	3	1	0	0	2
digg	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	1	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	11	0	2	0	0	0	0	0	0	0	0	3	1	0
yes	0	4	0	1	4	0	3	0	0	4	0	1	0	0	6	0	0	0	0	6	0	1	0	0	0	3	1	1	0	0	0	3	0	1	0	2	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	8	0	0	0	0	1	1	1	0	0	0	3	0	0	0	0	2
yet	1	3	1	1	8	1	0	0	2	4	1	0	0	1	4	0	0	1	2	1	0	0	1	4	3	1	1	6	0	1	0	3	0	0	0	4	1	0	0	0	0	3	1	1	1	6	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	3	6	0	2	2	0	1	0	2	2	0	1	3	0	0	1	0	3	4	0	2	0	1	0	1	1	0	1	0	4	0	1	3	6	0	1	0	4
save	3	1	0	0	2	0	0	0	0	1	1	7	0	1	0	0	1	0	0	1	0	0	0	6	2	2	2	2	0	0	1	2	0	1	0	2	0	0	1	0	2	0	6	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0
deal	0	0	1	0	10	0	1	0	0	0	1	3	0	1	1	0	2	0	0	2	0	0	0	3	0	1	0	0	0	0	0	2	0	0	3	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1
magazine	0	3	3	0	2	0	2	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	4	0	1	0	1	0	0	0	0	5	3	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	2	0	1	0	4	1	0	1	1	0	6	1	0	1	0	1
down	2	7	2	1	8	0	5	0	2	3	4	0	0	0	2	3	0	2	3	2	0	4	1	4	0	5	3	2	2	0	0	10	3	8	0	2	2	0	2	1	0	3	4	0	1	3	3	0	4	3	0	3	2	0	0	0	1	1	1	2	0	2	3	0	1	0	0	0	0	6	0	0	0	7	1	2	0	0	4	0	0	1	11	4	1	1	1	2	5	0	8	0	2	10	3	0	1	0	5
weekend	0	2	0	0	4	0	0	1	0	1	0	0	0	1	0	0	1	0	2	4	0	0	0	2	0	1	0	1	1	0	0	3	0	2	0	0	0	0	0	1	0	2	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	1	2	0	1	1	0	0	0	0	1	0	2	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	5	0	0	1	1	3	0	0	0	1	0	0	0	0
international	0	1	0	1	29	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	3	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0
box	0	1	0	0	7	0	4	0	0	0	0	0	0	1	5	0	0	0	0	0	0	3	0	1	3	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0
visit	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	3	1	0	1	0	12	0	2	0	1	0	0	0	56	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	11	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	2	1	1	3	0	0	0	1	0	2	0	0	0	2
making	0	8	2	4	9	0	6	0	0	3	2	0	0	0	2	1	0	0	2	1	0	4	0	4	2	4	0	5	0	0	1	4	0	5	0	3	2	3	0	0	1	1	3	1	6	1	1	0	4	3	0	2	0	0	0	0	0	0	0	0	1	3	2	0	3	1	0	0	0	0	0	0	0	1	0	3	0	0	2	0	0	1	2	1	3	2	0	2	0	0	1	0	0	4	5	0	1	1	5
interesting	0	1	1	0	8	0	9	0	1	0	6	1	0	1	5	0	2	0	1	1	0	7	0	1	3	0	0	2	1	0	0	3	1	16	1	2	0	1	0	0	2	1	1	0	1	0	0	0	4	1	0	0	0	0	3	1	0	0	0	9	0	0	2	0	2	0	0	2	1	2	1	0	1	1	0	3	1	1	5	1	1	2	0	4	0	4	0	0	1	0	1	0	12	1	10	0	1	0	0
morning	1	6	0	0	1	0	1	1	0	6	1	1	0	0	0	2	0	0	1	5	0	0	0	0	0	3	0	1	3	0	1	6	3	2	0	0	0	4	0	0	0	0	0	1	0	2	0	2	1	0	0	0	0	3	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0	0	0	2	0	0	1	1	2	0	0	2	0	1	5	0	0	0	0	3
enough	5	7	2	2	13	0	2	1	0	2	2	0	0	1	2	0	0	0	2	1	0	3	1	4	2	9	5	2	0	0	1	2	0	1	0	5	0	0	0	0	0	1	0	0	1	6	0	0	0	3	0	4	0	0	3	0	0	0	0	3	0	0	3	0	2	0	0	0	0	0	1	0	1	1	0	2	0	0	2	0	1	0	2	1	0	0	0	3	2	0	9	0	0	6	1	0	1	3	1
sound	1	0	0	2	1	0	13	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	1	5	0	0	0	0	0	1	0	0	0	0	2	0	0	1	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	1	2
images	0	0	1	0	0	1	5	0	0	0	3	0	0	0	1	0	0	0	1	0	0	1	0	5	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0	4	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	1	3	2	0	0	0	4	2	1	2	1	0	0	0	1
released	0	0	0	0	1	0	1	0	0	0	0	0	1	0	3	2	1	0	1	0	0	5	0	2	0	4	1	1	0	0	1	4	0	2	1	1	0	1	0	0	1	4	3	0	0	2	0	0	3	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	7	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	1	0	0	1	0	6	0	0	0	6	0	0	0	3
again	3	8	1	1	11	0	9	2	0	6	2	0	0	1	1	0	1	0	1	9	0	0	3	4	0	7	2	2	0	1	0	2	1	0	1	7	0	1	0	0	0	0	1	0	0	4	1	0	4	0	0	2	1	3	0	0	0	0	2	2	0	3	1	0	1	0	0	1	0	1	0	0	1	3	0	3	0	0	2	2	0	2	11	3	2	1	0	1	0	0	2	0	5	6	1	0	1	0	7
u	0	5	0	0	3	0	0	1	0	0	0	0	0	1	3	0	1	0	8	1	0	0	1	3	1	2	4	5	0	0	2	5	1	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	3	2	0	0	0	1	2	0	0	1	0	0	21	0	0	0	5	0	0	0	0	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	2	0	0	0	0	2
hour	0	1	0	0	5	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	2	0	0	0	3	3	0	3	0	1	0	0	0	0	2	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	3	1	1	2	0	0	1	0	1	1	0	1	0	0	0	0	2
days	0	0	0	0	6	2	5	0	0	7	3	0	0	1	4	0	2	0	6	1	0	3	1	1	4	3	0	4	0	1	0	3	2	10	0	0	0	2	1	0	0	2	0	2	1	0	1	0	1	2	0	0	0	1	0	0	2	0	0	7	1	3	0	0	3	0	0	0	0	0	2	2	0	6	1	2	0	0	2	0	0	0	3	0	1	4	2	2	6	2	1	0	1	3	1	1	1	0	1
